,goto,lats,lons,severity,time
2034,False,53.74820644906307,-1.507591575715572,3,15682
2035,False,53.74820644906307,-1.507591575715572,3,15682
2038,True,53.77770110740009,-1.5695686669492028,3,15685
2039,False,53.77770110740009,-1.5695686669492028,3,15685
2040,True,53.86215348696509,-1.6999988104633266,3,15689
2041,True,53.88585267539341,-1.7295111354128911,3,15719
2042,True,53.753946375996975,-1.6561362533825503,3,15722
2044,False,53.80308976730493,-1.6984159630314246,5,15726
2045,False,53.80308976730493,-1.6984159630314246,5,15726
2046,False,53.80308976730493,-1.6984159630314246,5,15726
2047,False,53.72717795206341,-1.5378923413791248,3,15726
2043,True,53.80308976730493,-1.6984159630314246,5,15726
2048,True,53.842872919405515,-1.5571375472256235,3,15733
2050,False,53.842872919405515,-1.5571375472256235,3,15733
2049,False,53.842872919405515,-1.5571375472256235,3,15733
2051,True,53.81005364006061,-1.5658509715629427,3,15762
2052,False,53.77333942897015,-1.5790053543752423,2,15762
2053,False,53.77333942897015,-1.5790053543752423,2,15762
2054,True,53.810477426766006,-1.5350181425455052,3,15771
2055,True,53.79093248748651,-1.567338558454567,3,15775
2056,False,53.79093248748651,-1.567338558454567,3,15775
2058,True,53.823637367659366,-1.4868530988245814,2,15776
2060,False,53.815538693272494,-1.523813960995891,3,15778
2059,True,53.815538693272494,-1.523813960995891,3,15778
2061,False,53.80694716073466,-1.5128716502397015,3,15806
2062,True,53.80317220122868,-1.5667874937641044,4,15806
2063,True,53.80151883567467,-1.533340768152756,3,15823
2065,False,53.809463635068624,-1.5172768288899672,3,15825
2064,True,53.80507771381409,-1.5425789927248268,3,15828
2066,True,53.80360761755207,-1.451324061247213,4,15857
2067,True,53.796428954545966,-1.537298851590284,2,15862
2068,True,53.80707038889454,-1.5660639977452833,3,15865
2069,False,53.80707038889454,-1.5660639977452833,3,15865
2070,True,53.907171771350825,-1.3562490226435002,3,15868
2071,True,53.814169002991925,-1.339054084824581,4,15870
2072,False,53.814169002991925,-1.339054084824581,4,15870
2073,False,53.814169002991925,-1.339054084824581,4,15870
2077,False,53.80518057147775,-1.6831406082857716,3,15874
2074,True,53.81625951158986,-1.5571446101823438,2,15874
2076,True,53.80569688751069,-1.452207882121936,3,15875
2075,False,53.83590745548562,-1.5265765955579778,2,15877
2087,False,53.81751581034288,-1.5305962274263478,3,15912
2078,True,53.79210430272066,-1.5487312670907705,3,15921
2079,True,53.8001310933428,-1.5836715899259266,3,15922
2080,True,53.733192066110306,-1.5221069829406855,3,15923
2081,True,53.811158044822854,-1.5755894044172847,3,15935
2082,False,53.811158044822854,-1.5755894044172847,3,15935
2083,False,53.811158044822854,-1.5755894044172847,3,15935
2084,True,53.79648863878011,-1.5341404669342353,3,15950
2085,True,53.866144497929334,-1.4750499734274132,3,15951
2086,False,53.76835434646907,-1.577386364766569,3,15951
2088,True,53.80701324159873,-1.6353392344085071,5,15968
2089,False,53.83808576448906,-1.5936897861994268,3,15968
2090,True,53.78786817403359,-1.4112308402814435,4,16004
2091,True,53.76305663822839,-1.5281695996871623,2,16007
2092,True,53.7973221179523,-1.5499960929763679,2,16011
2093,True,53.82384765917975,-1.5802920680956596,4,16016
2094,True,53.79460563612579,-1.5423133592053762,2,16020
2095,True,53.849012754020855,-1.5525734703437135,3,16027
2097,False,53.806202924275794,-1.5748194367572557,3,16035
2096,True,53.806202924275794,-1.5748194367572557,3,16035
2100,True,53.80161385319443,-1.4477516355996594,3,16043
2098,False,53.73057015887544,-1.5908613205635433,2,16047
2099,False,53.73057015887544,-1.5908613205635433,2,16047
2101,True,53.85709981230062,-1.6884348617232408,3,16064
2102,False,53.85709981230062,-1.6884348617232408,3,16064
2103,True,53.82465027917733,-1.5634062485205777,4,16068
2104,False,53.82465027917733,-1.5634062485205777,4,16068
2111,False,53.80141961722807,-1.5332507701554943,3,16095
2110,False,53.816903911821946,-1.5168268466220785,3,16097
2105,True,53.80774740625394,-1.5521775204184893,2,16099
2107,False,53.80524688696351,-1.4520770837789192,3,16102
2106,True,53.80524688696351,-1.4520770837789192,3,16102
2108,True,53.76785380099686,-1.4171999566559903,3,16116
2109,False,53.84880811540634,-1.5160341034028386,2,16116
2112,True,53.805139816994114,-1.5423657340539088,3,16127
2113,False,53.805139816994114,-1.5423657340539088,3,16127
2114,True,53.833554885169086,-1.543408546323721,3,16142
2116,False,53.749282784478616,-1.6352475745711974,3,16156
2115,True,53.749282784478616,-1.6352475745711974,3,16156
2119,False,53.72972845448538,-1.5661934074992205,3,16160
2117,True,53.81677784073701,-1.5167675410468033,3,16160
2118,False,53.72972845448538,-1.5661934074992205,3,16160
2120,False,53.781274007511605,-1.5609274060641969,6,16161
2121,True,53.781274007511605,-1.5609274060641969,7,16161
2122,False,53.781274007511605,-1.5609274060641969,6,16161
2123,False,53.781274007511605,-1.5609274060641969,7,16161
2124,False,53.781274007511605,-1.5609274060641969,6,16161
2129,False,53.7548503646911,-1.6579488316899116,3,16163
2125,True,53.77114714991046,-1.549532475601296,3,16166
2126,True,53.811446853786016,-1.5232376544941504,2,16194
2127,False,53.78307372039827,-1.3784101366165955,3,16195
2128,True,53.78307372039827,-1.3784101366165955,4,16195
2135,False,53.83035339872739,-1.4936689810335162,5,16206
2130,False,53.77591696990843,-1.5393148831889463,2,16206
2131,True,53.83035339872739,-1.4936689810335162,5,16206
2132,False,53.83035339872739,-1.4936689810335162,5,16206
2133,False,53.83035339872739,-1.4936689810335162,5,16206
2134,False,53.83035339872739,-1.4936689810335162,5,16206
2136,True,53.75191643219215,-1.5203780776749716,2,16207
2137,True,53.79131769530064,-1.5719947024636263,3,16209
2138,True,53.81045418740439,-1.5850728255080755,3,16210
2139,True,53.79683892769232,-1.5317682710875988,3,16211
2140,False,53.79683892769232,-1.5317682710875988,3,16211
2141,False,53.79683892769232,-1.5317682710875988,3,16211
2143,True,53.735771154507546,-1.595237410932942,3,16236
2425,False,53.80193717126726,-1.6940210788739771,2,16241
2142,False,53.797385856186324,-1.382479882341412,2,16247
2144,True,53.86939122895178,-1.704631034230959,2,16258
2146,True,53.721759698742495,-1.5477414848612419,3,16269
2149,False,53.82245496632026,-1.4168833864107415,4,16271
2147,True,53.82245496632026,-1.4168833864107415,4,16271
2148,False,53.82245496632026,-1.4168833864107415,4,16271
2150,True,53.81819951048151,-1.454232177268205,3,16285
2151,True,53.85611014687977,-1.5305751539163355,3,16301
2152,True,53.756766984170255,-1.6198489395873705,3,16302
2153,True,53.79362331588574,-1.5913868770226327,2,16304
2166,False,53.82903481755189,-1.5654421449266323,3,16308
2165,False,53.82903481755189,-1.5654421449266323,3,16308
2155,True,53.81071115125262,-1.5563981738071015,3,16309
2154,False,53.79839907511017,-1.333320182786942,2,16309
2157,False,53.75153491972474,-1.4662426541303093,3,16341
2156,True,53.79884950903462,-1.545075890445742,3,16342
2158,True,53.790007235138084,-1.5649953244181374,3,16346
